Date/Time,Electricity:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Daily),NaturalGas:Facility [J](Daily),InteriorEquipment:Electricity [J](Daily),InteriorLights:Electricity [J](Daily),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorEquipment:Electricity [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:Facility [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Carbon Equivalent:Facility [kg](Hourly),Carbon Equivalent:Facility [kg](Daily),Carbon Equivalent:Facility [kg](Monthly),Carbon Equivalent:Facility [kg](RunPeriod) 
 01/01  01:00:00,135564.02748779267,24550611.30540996,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  02:00:00,110174.58126438904,16899432.181165935,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  03:00:00,105491.36233869099,15758697.84608374,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  04:00:00,103377.98991431426,15160354.504638195,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  05:00:00,101721.47653171083,14653830.543875065,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  06:00:00,99361.60552549284,13985272.205124341,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  07:00:00,95850.76523226961,12989683.104180642,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  08:00:00,877728.6971288519,11910578.54366936,389250.945148176,447136.272,,,,,,,,,,,,,0.0 
 01/01  09:00:00,1213782.7277913935,11199813.165759754,727612.6608000001,447136.272,,,,,,,,,,,,,0.0 
 01/01  10:00:00,876244.2263001718,11479508.541728966,389250.945148176,447136.272,,,,,,,,,,,,,0.0 
 01/01  11:00:00,92321.02188812357,11980924.505142507,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  12:00:00,90639.09042561404,11431817.620544713,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  13:00:00,88838.55992441508,10856113.39725009,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  14:00:00,87022.83159470317,10275909.626192093,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  15:00:00,85778.28449848984,9880413.174374044,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  16:00:00,88291.47393630873,10705257.906983639,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  17:00:00,90644.64224280638,11460627.144709522,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/01  18:00:00,258337.43027040002,10968231.571962677,220066.44925896004,0.0,,,,,,,,,,,,,0.0 
 01/01  19:00:00,428228.0589300402,11204419.63442724,389250.945148176,0.0,,,,,,,,,,,,,0.0 
 01/01  20:00:00,664287.6179466591,0.0,558428.164910784,89427.2544,,,,,,,,,,,,,0.0 
 01/01  21:00:00,833437.2549272252,0.0,727612.6608000001,89427.2544,,,,,,,,,,,,,0.0 
 01/01  22:00:00,833433.025073473,0.0,727612.6608000001,89427.2544,,,,,,,,,,,,,0.0 
 01/01  23:00:00,664247.229105202,0.0,558428.164910784,89427.2544,,,,,,,,,,,,,0.0 
 01/01  24:00:00,236457.23857395724,0.0,220066.44925896004,0.0,8261261.218852495,247351496.5232225,5619927.393360433,1699117.8335999998,,,,,,,,,0.0,0.0 
 01/02  01:00:00,128547.0704996389,22661775.81998895,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  02:00:00,103813.97114310082,15208546.838648435,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  03:00:00,101284.01878667898,14513312.001475465,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  04:00:00,99863.30871687195,14144895.280275792,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  05:00:00,97430.33869386507,13472652.62620049,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  06:00:00,99622.81675263946,14175176.501750788,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  07:00:00,99840.10587803246,14212428.623960389,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  08:00:00,883114.9320001331,13550690.115036345,389250.945148176,447136.272,,,,,,,,,,,,,0.0 
 01/02  09:00:00,1220215.1142465012,13188235.437718723,727612.6608000001,447136.272,,,,,,,,,,,,,0.0 
 01/02  10:00:00,879694.9238868507,12543031.149197605,389250.945148176,447136.272,,,,,,,,,,,,,0.0 
 01/02  11:00:00,93701.06501095956,12408969.339940215,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  12:00:00,91455.44566118496,11695455.686699754,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  13:00:00,89726.34587645877,11140333.991793268,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  14:00:00,89740.69832356095,11138425.37572869,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  15:00:00,88275.00758082216,10634403.36751951,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  16:00:00,87992.6628228901,10554747.038630739,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  17:00:00,90436.13926501898,11366024.13770618,50881.953369744006,0.0,,,,,,,,,,,,,0.0 
 01/02  18:00:00,260519.9866815002,11656082.200968259,220066.44925896004,0.0,,,,,,,,,,,,,0.0 
